Player Name,Club,Annual wage in EUR,Non-Penalty Goals,Shots Total,Assists,Shot-Creating Actions,Passes Attempted,Pass Completion ,Progressive Passes,Progressive Carries,Successful Take-Ons,Touches (Att Pen),Progressive Passes Rec,Tackles,Interceptions,Blocks,Clearances,Aerials Won,Goals Against,Save Percentage,Save% (Penalty Kicks),Clean Sheet Percentage,Touches,Launch %,Goal Kicks,Avg. Length of Goal Kicks,Crosses Stopped %,Def. Actions Outside Pen. Area,Avg. Distance of Def. Actions
Matthias Ginter,Freiburg,7550000,0,0.35,0.06,1.17,61.43,0.834,5.72,1.04,0.06,0.85,0.76,1.26,0.6,1.52,4.04,2.5,,,,,,,,,,,
Olivier Giroud,Milan,4490000,0.38,2.5,0.25,1.74,18.61,0.682,1.03,0.35,0.15,4.36,3.5,0.53,0.18,0.48,1.06,2.32,,,,,,,,,,,
Klaus Gjasula,Darmstadt 98,800000,0,0.56,0,0.99,50.52,0.826,4.93,0.56,0.21,0.77,0.49,2.81,1.27,1.83,2.96,2.32,,,,,,,,,,,
Serge Gnabry,Bayern Munich,18870000,0.68,2.62,0.23,2.73,37.14,0.816,3.19,3.3,0.68,5.24,8.89,1.71,0.46,1.59,0.57,0.8,,,,,,,,,,,
Ben Godfrey,Everton,4531741,0,1.21,0,1.37,38.89,0.694,3.46,0.88,0.4,1.53,2.09,2.41,1.29,1.13,4.58,2.01,,,,,,,,,,,
Edoardo Goldaniga,Como,1110000,0.13,0.31,0,0.81,55.56,0.845,2.88,0.94,0.06,0.69,0.5,0.94,0.88,0.69,3.69,2,,,,,,,,,,,
Pierluigi Gollini,Napoli,1480000,,,,,,0,,,,,,,,,,,1.25,6.67,,1.25,42.25,2.21,8.25,35,0.53,1.25,16.4
Aleksandr Golovin,Monaco,4800000,0.24,1.77,0.24,4.37,50.98,0.752,7.2,2.12,0.98,1.97,6.57,1.81,0.83,1.46,0.55,0.51,,,,,,,,,,,
André Gomes,Everton,6785991,0.16,1.25,0,2.82,50.33,0.785,6.43,1.57,0.94,1.72,4.7,1.25,0.47,1.72,0.63,0.16,,,,,,,,,,,
Angel Gomes,Lille,710000,0,1.28,0.28,3.67,60.85,0.894,6.92,1.73,0.76,1.24,2.66,0.86,0.66,0.76,0.97,0.31,,,,,,,,,,,
