position,league,age,matches,starts,minutes,goals,annual_wage,non_penalty_goals,shots_total,assists,shot_creating_actions,passes_attempted,pass_completion,progressive_passes,progressive_carries,successful_take_ons,touches_att_pen,progressive_passes_rec,tackles,interceptions,blocks,clearances,aerials_won,penalty_play
DF,Premier League,22.0,13,12,1056,1,906348.0,0.09,0.68,0.0,0.68,54.29,0.843,2.98,0.6,0.26,0.85,0.77,1.02,1.02,1.11,3.24,1.19,-0.1817345838594364
"FW,MF",Bundesliga,23.0,143,21,484,0,1500000.0,0.0,2.13,0.0,1.42,28.1,0.728,2.49,1.42,0.71,3.38,6.23,0.89,0.36,1.25,0.36,2.85,-0.1817345838594364
"FW,MF",Bundesliga,24.0,23,8,898,4,1140000.0,0.3,3.02,0.35,4.61,45.89,0.807,3.27,2.97,0.99,6.29,12.29,1.54,0.45,1.24,0.45,2.08,-0.1817345838594364
"FW,MF",Ligue 1,24.0,30,23,2007,7,1200000.0,0.45,3.48,0.1,3.62,33.42,0.805,3.8,2.72,1.85,5.57,7.9,1.04,0.59,0.8,0.49,0.77,-0.1817345838594364
"FW,MF",Ligue 1,26.0,28,21,1821,1,3100000.0,0.03,1.36,0.24,4.07,45.17,0.846,6.4,4.01,1.72,3.08,5.94,1.21,0.54,1.21,0.18,0.39,-0.1817345838594364
FW,Ligue 1,23.0,11,2,313,0,410000.0,0.13,2.78,0.0,2.78,31.14,0.789,2.66,4.18,1.65,3.29,9.49,0.89,0.63,1.01,0.76,0.51,-0.1817345838594364
DF,Serie A,30.0,30,30,2600,3,3210000.0,0.08,0.76,0.0,1.22,78.36,0.903,4.32,0.76,0.35,1.3,0.14,1.05,0.84,0.81,3.48,2.81,-0.1817345838594364
DF,Bundesliga,26.0,7,7,590,0,600000.0,0.0,0.61,0.0,0.92,47.59,0.734,3.66,0.46,0.0,1.53,0.46,2.14,1.37,1.83,5.49,3.97,-0.1817345838594364
"FW,MF",Premier League,23.0,6,1,152,0,911708.0,0.26,2.72,0.0,4.01,43.71,0.683,3.23,4.53,1.68,4.01,6.47,1.55,0.65,2.33,0.65,0.39,-0.1817345838594364
FW,La Liga,24.0,30,6,816,6,1300000.0,0.66,2.54,0.11,1.99,16.88,0.627,1.32,1.1,0.99,4.63,4.96,1.54,0.22,0.44,0.88,3.53,-0.1817345838594364
"FW,MF",La Liga,22.0,27,19,1345,4,1560000.0,0.24,2.54,0.14,3.16,36.25,0.692,2.97,4.17,2.83,5.27,11.32,2.11,0.29,1.01,0.34,0.91,-0.1817345838594364
MF,La Liga,26.0,36,32,2842,1,900000.0,0.03,0.51,0.0,2.09,45.54,0.763,5.76,1.68,0.6,0.51,1.14,1.77,0.38,1.05,1.43,1.24,-0.1817345838594364
MF,La Liga,34.0,22,10,1014,0,3000000.0,0.0,1.15,0.25,2.47,66.04,0.849,8.07,0.82,0.41,1.24,1.4,3.79,1.4,1.65,1.48,1.15,-0.1817345838594364
DF,La Liga,27.0,35,33,2853,1,1000000.0,0.03,0.55,0.0,1.87,42.9,0.804,3.56,1.98,0.79,1.28,3.73,1.87,0.9,0.73,2.07,0.76,-0.1817345838594364
MF,Serie A,28.0,33,31,2696,0,3460000.0,0.05,1.31,0.1,2.73,60.41,0.875,5.31,1.49,0.9,2.16,4.33,1.8,1.08,1.29,0.8,1.49,-0.1817345838594364
FW,Serie A,30.0,1314,96,1465,13,2590000.0,0.31,2.46,0.09,2.68,19.79,0.7,1.19,1.45,0.53,4.44,6.07,1.14,0.18,0.75,0.66,2.99,-0.1817345838594364
"DF,FW",Serie A,24.0,33,27,2327,2,1850000.0,0.07,1.11,0.1,2.84,49.11,0.848,2.88,3.15,1.01,2.22,6.45,1.87,0.42,1.07,0.97,0.45,-0.1817345838594364
DF,Serie A,23.0,21,16,1487,1,930000.0,0.06,1.09,0.0,1.03,59.07,0.853,2.78,0.79,0.18,1.57,1.33,2.3,1.03,1.39,3.39,1.27,-0.1817345838594364
"FW,MF",Serie A,25.0,36,34,2522,8,930000.0,0.31,2.21,0.14,4.01,33.11,0.766,4.04,3.11,0.97,2.87,6.5,0.79,0.48,0.38,0.52,0.28,-0.1817345838594364
FW,Serie A,28.0,18,13,995,1,3330000.0,0.16,1.63,0.08,2.49,21.08,0.72,1.17,1.01,0.93,3.27,5.29,0.31,0.08,0.54,0.47,2.33,-0.1817345838594364
FW,Serie A,25.0,36,36,2978,11,4440000.0,0.25,2.37,0.03,1.75,18.81,0.658,1.41,0.51,0.34,4.29,4.96,0.31,0.03,0.56,1.13,2.2,1.317032250646508
"MF,DF",La Liga,28.0,28,26,1889,2,9000000.0,0.1,0.62,0.07,1.24,70.94,0.941,4.81,1.06,0.14,0.93,0.27,1.24,1.0,0.93,1.85,2.47,-0.1817345838594364
DF,Bundesliga,27.0,15,12,992,1,1200000.0,0.18,0.45,0.0,0.54,39.1,0.777,1.54,0.09,0.09,0.54,0.0,1.72,0.82,0.91,3.99,2.63,-0.1817345838594364
MF,Bundesliga,23.0,11,2,349,0,320000.0,,,,,,0.0,,,,,,,,,,,-0.1817345838594364
MF,Premier League,28.0,37,34,2613,3,3021160.0,0.1,1.79,0.24,4.72,44.6,0.704,4.75,1.93,0.65,2.2,4.31,0.86,0.14,0.55,0.41,0.45,-0.1817345838594364
DF,La Liga,25.0,10,5,511,0,500000.0,0.0,1.06,0.0,1.23,42.97,0.787,2.47,3.87,1.59,2.47,3.35,1.94,0.0,0.53,1.94,1.06,-0.1817345838594364
