Player Name,Nationality,Position,League,Age,Matches,Starts,Minutes,Goals,Assists,Penalty_made,Penalty_attempted,,,,,,,,,
Andreas Hanche-Olsen,NOR,DF,Bundesliga,27,15,12,992,1,0,0,0,,,,,,,,,
Andreas Luthe,GER,GK,Bundesliga,37,1,1,90,0,0,0,0,,,,,,,,,
Andreas Müller,GER,MF,Bundesliga,23,11,2,349,0,0,0,0,,,,,,,,,
Andreas Pereira,BRA,MF,Premier League,28,37,34,"2,613",3,7,0,0,,,,,,,,,
Andre-Frank Zambo Anguissa,CMR,MF,Serie A,28,33,31,"2,696",0,2,0,0,,,,,,,,,
Andrei Ratiu,ROU,DF,La Liga,25,10,5,511,0,0,0,0,,,,,,,,,
Andrej Ilic,SRB,FW,Ligue 1,24,2,0,9,0,0,0,0,,,,,,,,,
Andrej Kramarić,CRO,"MF,FW",Bundesliga,32,30,25,"2,199",15,6,5,5,,,,,,,,,
Andres Sfait,ROU,DF,Serie A,19,1,0,14,0,0,0,0,,,,,,,,,
Andrew Omobamidele,IRL,DF,Premier League,21,11,8,783,0,0,0,0,,,,,,,,,
Andrew Robertson,SCO,DF,Premier League,30,22,17,"1,603",3,2,0,0,,,,,,,,,
Andriy Lunin,UKR,GK,La Liga,25,20,20,"1,800",0,0,0,0,,,,,,,,,
Andros Townsend,ENG,"MF,FW",Premier League,32,26,14,"1,195",1,3,0,0,,,,,,,,,
Andy Diouf,FRA,MF,Ligue 1,21,25,16,"1,314",1,0,0,0,,,,,,,,,
Andy Logbo,FRA,FW,Ligue 1,20,10,2,248,0,0,0,0,,,,,,,,,
Andy Pelmard,FRA,DF,Ligue 1,24,33,32,"2,899",0,0,0,0,,,,,,,,,
Anel Ahmedhodžić,BIH,DF,Premier League,25,30,28,"2,559",2,0,0,0,,,,,,,,,
Angel Gomes,ENG,MF,Ligue 1,23,30,28,"2,500",0,8,0,0,,,,,,,,,
Angeliño,ESP,DF,Serie A,27,14,12,971,0,0,0,0,,,,,,,,,
Angelo Fulgini,FRA,MF,Ligue 1,27,28,15,"1,307",1,2,0,0,,,,,,,,,
Angelo Ogbonna,ITA,DF,Premier League,35,11,7,635,0,0,0,0,,,,,,,,,
Anis Ben Slimane,TUN,MF,Premier League,23,15,4,419,0,0,0,0,,,,,,,,,
Ansgar Knauff,GER,"MF,DF",Bundesliga,22,31,24,"2,109",7,2,0,0,,,,,,,,,
Antal Yaakobishvili,HUN,DF,La Liga,19,1,0,61,0,0,0,0,,,,,,,,,
Ante Budimir,CRO,FW,La Liga,32,31,28,"2,371",16,2,3,4,,,,,,,,,
Anthony Caci,FRA,DF,Bundesliga,26,31,29,"2,486",2,3,0,0,,,,,,,,,
Anthony Elanga,SWE,"FW,MF",Premier League,22,35,24,"2,346",5,8,0,0,,,,,,,,,
Anthony Gordon,ENG,FW,Premier League,23,35,34,"2,890",11,10,1,1,,,,,,,,,
Anthony Jung,GER,DF,Bundesliga,32,31,30,"2,579",1,0,0,0,,,,,,,,,
Anthony Lopes,POR,GK,Ligue 1,33,30,30,"2,700",0,0,0,0,,,,,,,,,
Anthony Losilla,FRA,MF,Bundesliga,38,31,31,"2,576",1,2,0,0,,,,,,,,,
Anthony Martial,FRA,FW,Premier League,28,13,5,448,1,0,0,0,,,,,,,,,
Anthony Oyono,GAB,DF,Serie A,23,16,14,"1,198",0,1,0,0,,,,,,,,,
Anthony Rouault,FRA,DF,Bundesliga,22,22,11,"1,010",0,2,0,0,,,,,,,,,
Antoine Griezmann,FRA,"FW,MF",La Liga,33,31,29,"2,464",16,6,4,4,,,,,,,,,
Antoine Joujou,FRA,"FW,MF",Ligue 1,21,22,5,713,0,2,0,0,,,,,,,,,
Antoine Makoumbou,CGO,MF,Serie A,25,32,32,"2,702",1,0,0,0,,,,,,,,,
Antoine Mendy,FRA,DF,Ligue 1,19,9,3,328,0,0,0,0,,,,,,,,,
Antoine Semenyo,GHA,FW,Premier League,24,32,24,"2,015",8,2,0,0,,,,,,,,,
Antonín Barák,CZE,"MF,FW",Serie A,29,19,7,715,2,3,0,0,,,,,,,,,
Antonee Robinson,USA,DF,Premier League,26,36,36,"3,188",0,6,0,0,,,,,,,,,
Antonin Cartillier,FRA,DF,Ligue 1,19,1,0,8,0,0,0,0,,,,,,,,,
Antonino Gallo,ITA,DF,Serie A,24,34,29,"2,426",0,3,0,0,,,,,,,,,
Antonio Blanco,ESP,MF,La Liga,23,33,29,"2,426",0,1,0,0,,,,,,,,,
Antonio Candreva,ITA,"MF,FW",Serie A,37,32,31,"2,645",6,6,1,1,,,,,,,,,
Antonio Mirante,ITA,GK,Serie A,40,1,1,90,0,0,0,0,,,,,,,,,
Antonio Puertas,ESP,"MF,FW",La Liga,32,26,6,729,0,2,0,1,,,,,,,,,
Antonio Rüdiger,GER,DF,La Liga,31,31,28,"2,529",1,0,0,0,,,,,,,,,
Antonio Raillo,ESP,DF,La Liga,32,24,23,"2,015",3,0,0,0,,,,,,,,,
Antonio Sánchez,ESP,MF,La Liga,27,28,20,"1,396",3,1,0,0,,,,,,,,,
