position,league,age,goals,assists,annual_wage,non_penalty_goals,shots_total,shot_creating_actions,passes_attempted,pass_completion,progressive_passes,progressive_carries,successful_take_ons,touches_att_pen,progressive_passes_rec,tackles,interceptions,blocks,clearances,aerials_won,goals_against,save_%,save%_penalty_kicks,clean_sheet_%,touches,launch_%,goal_kicks,avg_length_goal_kicks,crosses_stopped_%,def_actions_outside_pen_area,avg_distance_def_actions,penalty_play,play_time
FW,Serie A,35.0,2,5,4630000.0,0.14,1.25,3.48,35.29,0.732,4.52,1.18,1.18,3.55,6.33,0.77,0.21,0.42,0.21,0.84,,,,,,,,,,,,1.3199990103336146,-1.0140712543833763
DF,Premier League,24.0,2,8,453174.0,0.03,0.79,3.59,52.06,0.667,3.24,2.95,1.02,2.41,5.05,1.94,0.95,1.49,1.33,0.73,,,,,,,,,,,,-0.3573753679181039,2.7431553194956027
DF,La Liga,32.0,0,1,580000.0,0.0,0.68,2.07,51.24,0.732,3.99,1.49,0.78,0.97,3.4,2.33,1.49,0.94,2.4,0.68,,,,,,,,,,,,-0.3573753679181039,1.8725056877652269
DF,La Liga,28.0,1,3,2200000.0,0.06,0.63,2.44,49.22,0.76,2.19,4.38,0.69,1.94,7.51,1.94,1.19,1.13,1.5,0.44,,,,,,,,,,,,-0.3573753679181039,-0.4967014486087853
MF,Serie A,31.0,2,5,2410000.0,0.09,1.02,2.83,47.88,0.782,6.24,1.11,0.93,0.8,2.12,1.55,0.44,1.24,0.53,1.19,,,,,,,,,,,,-0.3573753679181039,0.9900435295929046
DF,Ligue 1,23.0,0,1,300000.0,0.0,0.46,1.19,55.64,0.831,2.75,1.51,0.83,0.14,1.33,2.75,1.88,1.38,2.39,1.33,,,,,,,,,,,,-0.3573753679181039,0.5503776750424437
"DF,FW",Ligue 1,21.0,0,0,400000.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,-0.3573753679181039,-2.5903578364786157
GK,Premier League,31.0,0,0,9063481.0,,,,,0.0,,,,,,,,,,,1.03,7.35,0.0,3.0,44.9,1.47,4.1,33.6,0.47,1.53,18.1,-0.3573753679181039,1.661275504815411
"FW,MF",Ligue 1,27.0,0,0,120000.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,-0.3573753679181039,-2.906031345675323
GK,Premier League,31.0,0,0,7250785.0,,,,,0.0,,,,,,,,,,,1.73,7.4,3.33,1.43,32.15,4.35,7.34,46.3,0.56,0.27,9.3,-0.3573753679181039,2.1043595012324796
