position,league,age,goals,assists,annual_wage,non_penalty_goals,shots_total,shot_creating_actions,passes_attempted,pass_completion,progressive_passes,progressive_carries,successful_take_ons,touches_att_pen,progressive_passes_rec,tackles,interceptions,blocks,clearances,aerials_won,goals_against,save_%,save%_penalty_kicks,clean_sheet_%,touches,launch_%,goal_kicks,avg_length_goal_kicks,crosses_stopped_%,def_actions_outside_pen_area,avg_distance_def_actions,penalty_play,play_time
"FW,MF",La Liga,22.0,4,1,1560000.0,0.24,2.54,3.16,36.25,0.692,2.97,4.17,2.83,5.27,11.32,2.11,0.29,1.01,0.34,0.91,,,,,,,,,,,,-0.3573753679181039,0.427414565325336
MF,La Liga,26.0,1,0,900000.0,0.03,0.51,2.09,45.54,0.763,5.76,1.68,0.6,0.51,1.14,1.77,0.38,1.05,1.43,1.24,,,,,,,,,,,,-0.3573753679181039,2.526305249313788
MF,La Liga,34.0,0,3,3000000.0,0.0,1.15,2.47,66.04,0.849,8.07,0.82,0.41,1.24,1.4,3.79,1.4,1.65,1.48,1.15,,,,,,,,,,,,-0.3573753679181039,-0.5479889686060627
DF,La Liga,27.0,1,0,1000000.0,0.03,0.55,1.87,42.9,0.804,3.56,1.98,0.79,1.28,3.73,1.87,0.9,0.73,2.07,0.76,,,,,,,,,,,,-0.3573753679181039,2.5323688618187896
MF,Serie A,28.0,0,2,3460000.0,0.05,1.31,2.73,60.41,0.875,5.31,1.49,0.9,2.16,4.33,1.8,1.08,1.29,0.8,1.49,,,,,,,,,,,,-0.3573753679181039,2.212735587164302
FW,Serie A,30.0,4,2,2590000.0,0.31,2.46,2.68,19.79,0.7,1.19,1.45,0.53,4.44,6.07,1.14,0.18,0.75,0.66,2.99,,,,,,,,,,,,-0.3573753679181039,0.22329560051824807
"DF,FW",Serie A,24.0,2,3,1850000.0,0.07,1.11,2.84,49.11,0.848,2.88,3.15,1.01,2.22,6.45,1.87,0.42,1.07,0.97,0.45,,,,,,,,,,,,-0.3573753679181039,1.7586826280788215
DF,Serie A,23.0,1,0,930000.0,0.06,1.09,1.03,59.07,0.853,2.78,0.79,0.18,1.57,1.33,2.3,1.03,1.39,3.39,1.27,,,,,,,,,,,,-0.3573753679181039,-0.03932824597486701
"FW,MF",Serie A,25.0,8,4,930000.0,0.31,2.21,4.01,33.11,0.766,4.04,3.11,0.97,2.87,6.5,0.79,0.48,0.38,0.52,0.28,,,,,,,,,,,,-0.3573753679181039,2.595831616212467
GK,Serie A,37.0,0,0,1850000.0,,,,,0.0,,,,,,,,,,,1.94,6.12,1.43,0.83,37.86,4.09,6.92,40.7,0.4,0.64,12.3,-0.3573753679181039,2.831805350229221
FW,Serie A,28.0,1,1,3330000.0,0.16,1.63,2.49,21.08,0.72,1.17,1.01,0.93,3.27,5.29,0.31,0.08,0.54,0.47,2.33,,,,,,,,,,,,-0.3573753679181039,-0.6838729781749348
FW,Serie A,25.0,11,1,4440000.0,0.25,2.37,1.75,18.81,0.658,1.41,0.51,0.34,4.29,4.96,0.31,0.03,0.56,1.13,2.2,,,,,,,,,,,,3.784745054983229,2.997607583822569
"MF,DF",La Liga,28.0,2,2,9000000.0,0.1,0.62,1.24,70.94,0.941,4.81,1.06,0.14,0.93,0.27,1.24,1.0,0.93,1.85,2.47,,,,,,,,,,,,-0.3573753679181039,1.2309792589312352
DF,Bundesliga,27.0,1,0,1200000.0,0.18,0.45,0.54,39.1,0.777,1.54,0.09,0.09,0.54,0.0,1.72,0.82,0.91,3.99,2.63,,,,,,,,,,,,-0.3573753679181039,-0.9054014734970441
GK,Bundesliga,37.0,0,0,300000.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,-0.3573753679181039,-2.853625327494999
MF,Bundesliga,23.0,0,0,320000.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,-0.3573753679181039,-2.0812492659604915
MF,Premier League,28.0,3,7,3021160.0,0.1,1.79,4.72,44.6,0.704,4.75,1.93,0.65,2.2,4.31,0.86,0.14,0.55,0.41,0.45,,,,,,,,,,,,-0.3573753679181039,2.542338228235872
"MF,DF",La Liga,25.0,0,0,500000.0,0.0,1.06,1.23,42.97,0.787,2.47,3.87,1.59,2.47,3.35,1.94,0.0,0.53,1.94,1.06,,,,,,,,,,,,-0.3573753679181039,-1.7959020645166435
"FW,MF",Bundesliga,32.0,15,6,4000000.0,0.31,2.48,5.19,46.08,0.796,4.64,2.75,0.87,3.93,6.8,0.43,0.43,0.63,0.43,0.39,,,,,,,,,,,,8.029496523340487,1.402561534848303
DF,Premier League,21.0,0,0,2114812.0,0.0,0.11,0.69,35.63,0.874,0.92,0.11,0.0,0.57,0.0,1.15,1.49,1.38,4.83,0.8,,,,,,,,,,,,-0.3573753679181039,-1.477085347862841
DF,Premier League,30.0,3,2,6042321.0,0.14,0.64,4.28,84.81,0.816,6.83,3.19,0.18,2.5,5.83,1.82,0.59,0.96,2.14,0.64,,,,,,,,,,,,-0.3573753679181039,0.31184361031977054
GK,La Liga,25.0,0,0,2810000.0,,,,,0.0,,,,,,,,,,,0.82,7.96,3.33,4.29,33.56,1.82,5.86,31.7,1.02,0.86,11.0,-0.3573753679181039,0.49074565940160114
"FW,MF",Premier League,32.0,1,3,1208464.0,0.08,1.51,2.71,32.38,0.702,2.64,3.46,1.13,1.58,5.27,1.58,0.38,0.9,0.75,0.0,,,,,,,,,,,,-0.3573753679181039,0.005029214584951102
MF,Bundesliga,25.0,1,2,1200000.0,0.08,1.56,2.81,42.03,0.751,4.53,2.81,1.64,2.58,5.39,2.11,1.48,1.88,1.72,1.64,,,,,,,,,,,,-0.3573753679181039,-0.37847077557767145
FW,Ligue 1,34.0,5,0,1500000.0,0.44,2.57,2.13,22.32,0.738,1.86,1.24,1.33,4.07,5.49,1.33,0.18,0.62,0.89,3.63,,,,,,,,,,,,-0.3573753679181039,-0.6126992478877321
"FW,MF",Premier League,30.0,1,0,6785991.0,0.16,1.25,2.82,50.33,0.785,6.43,1.57,0.94,1.72,4.7,1.25,0.47,1.72,0.63,0.16,,,,,,,,,,,,-0.3573753679181039,-1.8696192445101438
GK,Premier League,28.0,0,0,7250785.0,,,,,0.0,,,,,,,,,,,1.68,7.23,1.0,2.13,42.77,3.23,4.23,43.9,0.62,0.83,12.6,-0.3573753679181039,3.3334609982637113
FW,La Liga,28.0,3,0,5000000.0,0.11,1.9,1.56,20.43,0.798,1.12,0.67,1.01,3.46,5.47,0.56,0.11,0.45,0.34,1.67,,,,,,,,,,,,1.3199990103336146,-1.0774233520731886
MF,La Liga,37.0,0,0,1400000.0,0.0,0.99,3.3,64.25,0.856,6.93,0.99,0.88,0.55,0.99,2.64,1.32,0.77,0.88,1.1,,,,,,,,,,,,-0.3573753679181039,-1.8547445279296513
MF,Ligue 1,21.0,1,0,900000.0,0.06,1.76,3.77,51.0,0.8,5.15,4.27,2.14,1.51,3.64,1.88,0.25,0.94,0.44,0.63,,,,,,,,,,,,-0.3573753679181039,0.06993529050296031
DF,Ligue 1,24.0,0,0,450000.0,0.0,0.06,0.59,50.23,0.847,3.6,1.18,0.19,0.12,0.22,1.55,1.02,1.15,2.83,0.75,,,,,,,,,,,,-0.3573753679181039,2.5647510072324735
DF,Premier League,25.0,2,0,1812696.0,0.07,0.67,0.88,34.01,0.753,1.44,0.53,0.39,1.16,0.74,2.15,1.2,1.44,4.68,1.76,,,,,,,,,,,,-0.3573753679181039,1.963903210069335
MF,Ligue 1,23.0,0,8,710000.0,0.0,1.28,3.67,60.85,0.894,6.92,1.73,0.76,1.24,2.66,0.86,0.66,0.76,0.97,0.31,,,,,,,,,,,,-0.3573753679181039,1.9136989372544022
DF,Serie A,27.0,0,0,2000000.0,0.0,0.26,2.32,54.06,0.729,3.79,1.05,0.32,0.47,3.58,1.63,1.05,0.95,2.74,1.0,,,,,,,,,,,,-0.3573753679181039,-0.8132894141243473
MF,Ligue 1,27.0,1,2,1820000.0,0.15,2.67,4.79,51.84,0.727,4.79,2.37,1.33,3.16,7.6,1.63,0.54,1.38,0.59,1.53,,,,,,,,,,,,-0.3573753679181039,0.33045528994885404
DF,Premier League,35.0,0,0,4229625.0,0.0,0.19,0.09,38.71,0.851,0.85,0.28,0.09,0.47,0.0,1.23,0.47,1.7,3.5,2.46,,,,,,,,,,,,-0.3573753679181039,-1.6264817698064225
MF,Bundesliga,23.0,1,5,1300000.0,0.03,0.6,3.8,85.9,0.886,7.54,1.29,0.56,0.93,2.35,1.65,0.93,1.36,1.03,1.12,,,,,,,,,,,,-0.3573753679181039,2.2103609283214944
"MF,DF",Bundesliga,22.0,7,2,540000.0,0.31,1.58,2.55,31.13,0.63,2.37,3.42,1.1,4.43,7.11,1.84,0.79,1.71,0.75,0.92,,,,,,,,,,,,-0.3573753679181039,1.3456500050051003
"FW,MF",Premier League,21.0,2,0,2710000.0,0.59,4.19,3.93,38.6,0.872,4.44,2.6,0.92,6.61,9.88,0.75,0.42,1.26,0.5,0.33,,,,,,,,,,,,-0.3573753679181039,-1.2775345420360995
FW,La Liga,32.0,16,2,1350000.0,0.56,2.75,1.53,16.09,0.554,1.53,0.84,0.45,5.5,3.41,0.8,0.21,0.59,0.7,5.75,,,,,,,,,,,,5.462119433234947,1.7904920215145577
DF,Bundesliga,26.0,2,3,1680000.0,0.07,1.06,2.04,54.42,0.733,5.01,1.5,0.89,1.43,2.52,2.25,1.12,1.6,1.77,1.02,,,,,,,,,,,,-0.3573753679181039,1.8589891527765912
"FW,MF",Premier League,22.0,5,9,1510580.0,0.19,1.96,2.53,26.78,0.701,1.88,3.64,1.07,4.6,7.4,1.27,0.31,0.84,0.73,0.61,,,,,,,,,,,,-0.3573753679181039,1.8840954117979833
FW,Premier League,23.0,11,10,3625393.0,0.29,2.3,4.1,31.27,0.763,3.02,3.97,1.51,4.32,7.1,1.77,0.24,0.95,0.26,0.29,,,,,,,,,,,,1.3199990103336146,2.6103207416795824
DF,Bundesliga,32.0,1,0,1150000.0,0.0,0.14,0.87,63.37,0.858,3.77,0.94,0.17,0.24,0.87,1.36,0.84,1.36,3.42,1.43,,,,,,,,,,,,-0.3573753679181039,1.9729851259404125
GK,Ligue 1,33.0,0,0,4200000.0,,,,,0.0,,,,,,,,,,,1.58,7.19,1.67,3.03,36.76,3.29,6.21,33.6,0.78,1.0,13.0,-0.3573753679181039,2.162931152849901
MF,Bundesliga,38.0,1,2,940000.0,0.03,0.94,1.44,31.0,0.717,3.49,0.37,0.34,1.91,1.34,2.28,1.04,1.38,1.78,3.06,,,,,,,,,,,,-0.3573753679181039,2.02519122487047
FW,La Liga,31.0,3,0,700000.0,0.29,2.67,2.29,16.0,0.69,1.52,1.05,0.76,3.14,3.71,0.76,0.1,0.76,1.14,2.86,,,,,,,,,,,,-0.3573753679181039,-0.8754479984718666
DF,Serie A,23.0,0,1,350000.0,0.0,0.3,1.65,46.65,0.834,2.48,2.63,0.9,1.2,2.93,2.78,0.68,1.28,2.4,0.98,,,,,,,,,,,,-0.3573753679181039,-0.6093831269532204
DF,Bundesliga,22.0,0,2,120000.0,0.0,0.23,1.37,78.86,0.886,5.8,0.61,0.15,0.38,0.76,1.76,0.69,1.3,2.44,1.76,,,,,,,,,,,,-0.3573753679181039,-0.5618783363223807
FW,Premier League,24.0,8,2,1208464.0,0.36,2.99,3.04,27.29,0.696,2.68,3.71,2.01,5.09,7.95,0.98,0.27,1.65,0.85,2.14,,,,,,,,,,,,-0.3573753679181039,1.5075194789135176
MF,Bundesliga,25.0,2,3,1900000.0,0.07,1.47,2.58,48.98,0.775,5.37,1.95,1.12,1.12,2.02,2.65,2.55,1.5,2.51,2.27,,,,,,,,,,,,-0.3573753679181039,1.9183773623946971
DF,Premier League,26.0,0,6,3021160.0,0.0,0.43,1.95,56.14,0.736,3.5,2.83,1.04,1.74,5.32,2.49,2.14,1.47,3.15,1.18,,,,,,,,,,,,-0.3573753679181039,3.1244055549064376
DF,Serie A,24.0,0,3,960000.0,0.0,0.52,2.58,49.21,0.703,4.46,2.26,0.52,0.73,3.55,1.46,0.91,1.22,2.65,0.94,,,,,,,,,,,,-0.3573753679181039,1.9858310106329302
"FW,MF",Serie A,37.0,6,6,2410000.0,0.22,1.98,3.94,47.08,0.73,4.71,2.08,0.5,1.89,6.05,0.68,0.25,0.28,0.74,0.0,,,,,,,,,,,,1.3199990103336146,2.1247562067268015
GK,Serie A,40.0,0,0,1300000.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,-0.3573753679181039,-2.853625327494999
"FW,MF",La Liga,32.0,0,2,640000.0,0.0,2.1,3.46,26.17,0.717,2.72,2.22,1.85,3.95,5.68,1.48,0.74,0.62,0.49,1.6,,,,,,,,,,,,1.2173679648776883,-0.7370164165827708
DF,La Liga,32.0,3,1,880000.0,0.13,1.07,0.73,46.0,0.855,2.95,0.94,0.0,1.62,0.13,1.15,1.45,1.67,4.62,5.0,,,,,,,,,,,,-0.3573753679181039,1.0121543684071446
"FW,MF",Serie A,28.0,5,0,2960000.0,0.15,2.19,1.61,25.54,0.784,2.22,0.81,0.54,3.45,4.68,0.73,0.23,0.31,0.46,2.72,,,,,,,,,,,,2.997373388585333,1.4543989236646049
GK,La Liga,27.0,0,0,880000.0,,,,,0.0,,,,,,,,,,,1.12,7.56,0.0,2.94,34.85,6.23,8.68,47.8,0.5,0.85,13.1,-0.3573753679181039,2.664586800884391
MF,La Liga,27.0,3,1,840000.0,0.18,1.41,2.09,33.6,0.687,3.44,2.27,0.86,1.97,3.81,1.66,0.8,1.6,0.98,0.37,,,,,,,,,,,,-0.3573753679181039,0.5047228006628602
"FW,MF",Serie A,29.0,2,3,2780000.0,0.2,2.13,3.44,39.79,0.85,3.64,2.02,0.71,3.95,6.78,0.61,0.2,0.71,0.4,1.42,,,,,,,,,,,,-0.3573753679181039,-1.133762129938443
"FW,MF",La Liga,19.0,6,0,5200000.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,-0.3573753679181039,-2.010106664060064
DF,Serie A,27.0,0,0,900000.0,0.0,0.18,0.57,47.4,0.827,2.2,0.35,0.0,0.75,0.13,1.23,0.92,1.23,5.59,2.64,,,,,,,,,,,,-0.3573753679181039,0.807333624917163
DF,La Liga,35.0,0,0,460000.0,0.0,0.28,0.51,41.37,0.852,1.29,0.09,0.05,0.6,0.0,0.51,0.87,1.06,5.33,1.7,,,,,,,,,,,,-0.3573753679181039,-0.023782879098256316
GK,Premier League,25.0,0,0,1510580.0,,,,,0.0,,,,,,,,,,,1.56,8.19,5.0,0.0,66.67,3.79,3.11,49.5,1.39,3.22,17.2,-0.3573753679181039,-1.348658383391529
DF,La Liga,30.0,0,1,2200000.0,0.0,0.66,1.03,52.26,0.842,3.18,0.66,0.56,1.31,0.66,1.31,0.84,1.31,2.81,2.53,,,,,,,,,,,,-0.3573753679181039,-1.4591611995294964
FW,Serie A,30.0,3,1,4490000.0,0.27,3.42,3.24,25.29,0.783,2.34,0.99,0.45,5.67,4.77,0.9,0.36,0.72,0.36,2.25,,,,,,,,,,,,-0.3573753679181039,-0.5136278802361767
FW,Serie A,25.0,5,4,1150000.0,0.16,2.67,3.47,28.39,0.692,3.02,3.89,1.96,3.66,8.45,0.93,0.45,0.9,0.32,0.19,,,,,,,,,,,,-0.3573753679181039,2.720898572976796
FW,Premier League,22.0,1,1,2416928.0,0.17,2.16,1.49,20.09,0.843,1.33,2.16,2.49,6.48,7.31,0.5,0.0,1.0,0.5,1.66,,,,,,,,,,,,-0.3573753679181039,-1.1889426454621064
DF,Serie A,32.0,0,0,3150000.0,0.0,0.31,0.98,67.36,0.919,2.93,0.77,0.21,0.93,0.57,1.54,1.44,1.03,2.62,0.82,,,,,,,,,,,,-0.3573753679181039,0.2252224114741271
DF,La Liga,21.0,0,2,400000.0,0.0,0.24,1.76,60.61,0.888,4.24,2.24,0.36,0.73,1.15,1.88,0.91,0.91,2.79,0.67,,,,,,,,,,,,-0.3573753679181039,-0.37782713105440313
"DF,FW",La Liga,23.0,0,0,170000.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,-0.3573753679181039,-2.0876148186478547
GK,Ligue 1,22.0,0,1,1200000.0,,,,,0.0,,,,,,,,,,,1.19,7.2,,2.0,37.43,2.18,6.29,27.1,0.28,0.85,14.9,-0.3573753679181039,-2.0787497030266646
FW,Ligue 1,22.0,10,1,1500000.0,0.33,2.51,2.98,20.31,0.808,1.49,1.13,0.62,4.51,7.42,0.25,0.15,0.51,0.25,0.33,,,,,,,,,,,,2.997373388585333,1.363942863452201
"FW,MF",Ligue 1,25.0,5,3,750000.0,0.42,2.32,3.98,28.57,0.773,3.45,4.69,2.2,4.81,9.09,0.89,0.12,0.65,0.59,0.59,,,,,,,,,,,,-0.3573753679181039,-0.30373711833322053
MF,Bundesliga,25.0,2,4,1000000.0,0.18,2.02,5.8,51.81,0.764,5.52,1.38,1.1,2.39,5.52,1.47,0.64,1.66,0.83,0.55,,,,,,,,,,,,-0.3573753679181039,-0.6205208804851223
"FW,MF",Ligue 1,26.0,0,1,600000.0,0.04,1.25,2.75,31.2,0.743,3.8,3.59,2.0,2.71,6.76,1.17,0.42,1.0,0.67,0.38,,,,,,,,,,,,-0.3573753679181039,0.5235175185425885
DF,Ligue 1,22.0,0,0,420000.0,0.0,0.49,1.35,50.91,0.809,3.64,0.69,0.35,1.11,0.94,1.8,2.08,1.18,3.05,1.7,,,,,,,,,,,,-0.3573753679181039,1.9873452247025822
FW,La Liga,26.0,21,7,2500000.0,0.56,2.72,1.97,13.95,0.704,0.89,0.63,0.6,6.36,4.02,0.15,0.0,0.3,0.6,1.45,,,,,,,,,,,,8.816868189738383,2.1949573465355243
GK,Ligue 1,30.0,0,0,300000.0,,,,,0.0,,,,,,,,,,,1.28,7.26,5.0,2.19,30.69,4.74,6.59,39.0,0.7,0.75,12.5,-0.3573753679181039,2.497368251539561
MF,Serie A,27.0,1,3,3210000.0,0.05,0.48,3.43,68.04,0.911,6.08,0.92,0.43,0.34,1.21,2.12,0.82,1.3,0.34,0.34,,,,,,,,,,,,-0.3573753679181039,1.244970647579649
DF,Ligue 1,23.0,2,0,3640000.0,0.06,0.77,0.8,63.66,0.879,5.98,1.43,0.21,1.01,0.77,1.1,1.13,1.43,3.24,1.69,,,,,,,,,,,,-0.3573753679181039,1.4629620991034336
"MF,DF",Premier League,38.0,0,0,2416928.0,0.0,0.53,2.34,41.04,0.69,3.23,1.62,0.44,0.85,2.46,2.06,1.01,0.93,2.02,0.77,,,,,,,,,,,,-0.3573753679181039,1.618124315983581
FW,La Liga,26.0,2,1,1770000.0,0.39,2.16,3.14,22.35,0.719,1.96,1.18,0.78,5.69,5.88,0.39,0.0,0.2,0.78,3.33,,,,,,,,,,,,-0.3573753679181039,-1.61959747668681
MF,Bundesliga,21.0,0,0,2830000.0,0.0,0.31,0.86,45.66,0.853,3.75,0.23,1.25,0.47,0.7,2.5,1.09,1.33,2.26,1.17,,,,,,,,,,,,-0.3573753679181039,-0.30539311749351333
MF,Bundesliga,27.0,0,4,470000.0,0.0,0.66,1.88,63.67,0.89,4.74,0.79,0.2,0.49,1.12,2.3,0.89,1.32,1.48,1.51,,,,,,,,,,,,-0.3573753679181039,2.165749536965711
DF,Bundesliga,26.0,0,0,2000000.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,-0.3573753679181039,-2.1665561699867486
GK,La Liga,28.0,0,0,780000.0,,,,,0.0,,,,,,,,,,,1.65,6.74,,1.76,43.18,4.58,7.18,55.9,0.84,1.06,14.2,-0.3573753679181039,-0.17812853797771896
"MF,DF",Bundesliga,27.0,1,1,480000.0,0.05,0.64,1.67,56.52,0.784,4.38,2.61,0.54,2.36,5.32,2.12,0.74,1.23,1.97,1.53,,,,,,,,,,,,-0.3573753679181039,0.8390181142618798
DF,Premier League,25.0,0,0,1510580.0,0.0,0.29,0.58,32.24,0.757,1.38,0.36,0.18,0.94,0.47,1.7,1.2,1.41,5.26,2.21,,,,,,,,,,,,-0.3573753679181039,1.9153590590286211
DF,Premier League,26.0,2,0,4833857.0,0.06,0.73,0.41,76.26,0.894,4.2,1.07,0.47,1.04,0.7,1.11,0.63,0.95,3.41,2.59,,,,,,,,,,,,-0.3573753679181039,1.9188480934405494
DF,Serie A,19.0,0,0,120000.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,-0.3573753679181039,-2.936726363541939
DF,La Liga,35.0,2,0,8330000.0,0.05,0.28,0.55,58.29,0.926,2.73,0.44,0.14,0.67,0.21,1.03,0.67,1.36,3.58,1.63,,,,,,,,,,,,-0.3573753679181039,2.1576840983455843
"FW,MF",Bundesliga,25.0,1,0,840000.0,0.11,0.96,3.21,39.44,0.816,4.28,2.03,1.07,1.5,2.03,2.57,1.39,0.96,1.82,1.28,,,,,,,,,,,,0.42999629847979226,-2.043101325610241
DF,Premier League,29.0,0,0,7301482.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,-0.3573753679181039,-2.9579666328097955
FW,La Liga,30.0,9,1,1250000.0,0.38,2.57,3.25,29.75,0.768,3.12,3.59,2.12,5.96,7.19,2.26,0.89,1.71,0.62,0.75,,,,,,,,,,,,-0.3573753679181039,1.5681908549642343
MF,Ligue 1,26.0,1,1,1300000.0,0.04,0.72,2.16,50.02,0.867,5.53,0.57,0.45,0.72,0.91,1.82,1.82,1.25,2.08,1.59,,,,,,,,,,,,-0.3573753679181039,1.2793816248813084
MF,Ligue 1,24.0,2,0,4150000.0,0.1,1.52,3.08,57.88,0.882,6.6,1.96,0.68,1.42,4.6,1.56,0.78,0.73,0.44,0.39,,,,,,,,,,,,-0.3573753679181039,-0.2723984559433364
MF,Bundesliga,27.0,0,3,840000.0,0.06,1.0,2.43,41.04,0.783,4.99,2.12,1.19,1.93,3.37,1.68,0.81,1.87,1.19,1.0,,,,,,,,,,,,-0.3573753679181039,-0.5215995431520597
DF,La Liga,32.0,1,0,1600000.0,0.05,0.4,0.96,63.89,0.914,4.55,0.71,0.0,0.56,0.3,0.86,0.96,0.81,3.18,0.91,,,,,,,,,,,,-0.3573753679181039,-0.9395855257755881
DF,Ligue 1,23.0,5,2,360000.0,0.29,1.01,1.15,69.13,0.92,5.23,0.91,0.38,1.73,0.62,1.44,1.2,0.91,2.54,1.73,,,,,,,,,,,,-0.3573753679181039,0.2576045568878114
FW,Ligue 1,24.0,4,1,900000.0,0.35,2.59,2.76,19.35,0.777,0.69,0.86,0.52,4.49,7.08,0.52,0.0,0.52,1.21,3.11,,,,,,,,,,,,-0.3573753679181039,-1.5143417150531597
MF,Ligue 1,29.0,0,1,2000000.0,0.04,1.27,2.01,54.76,0.871,5.67,0.67,0.53,0.78,1.41,2.08,1.44,0.85,1.59,2.01,,,,,,,,,,,,-0.3573753679181039,1.064435482496449
GK,Premier League,21.0,0,0,2114812.0,,,,,0.0,,,,,,,,,,,1.17,7.5,0.0,2.92,42.42,1.78,3.54,17.7,0.72,1.33,15.6,-0.3573753679181039,0.49074565940160114
MF,Bundesliga,24.0,0,1,1350000.0,0.0,0.29,1.24,40.72,0.831,3.66,0.95,0.51,0.51,1.03,1.1,2.2,0.88,2.12,1.24,,,,,,,,,,,,-0.3573753679181039,-0.368816107728646
DF,Serie A,31.0,0,1,830000.0,0.0,0.15,1.03,44.61,0.782,3.56,0.83,0.62,0.15,1.08,2.17,1.19,1.19,2.74,1.19,,,,,,,,,,,,-0.3573753679181039,0.47618564138916525
"FW,MF",La Liga,33.0,2,0,280000.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,1.3199990103336146,-1.8999954411947768
"MF,DF",Ligue 1,22.0,0,0,550000.0,0.0,0.36,1.01,40.87,0.854,2.79,0.77,0.24,0.77,0.49,1.9,1.09,1.98,2.51,1.17,,,,,,,,,,,,-0.3573753679181039,1.4191233789758644
DF,Premier League,31.0,1,0,4833857.0,0.07,0.85,1.42,67.07,0.891,5.41,1.21,0.28,1.64,1.5,1.99,0.71,1.28,3.13,2.71,,,,,,,,,,,,-0.3573753679181039,-0.7320172907151167
DF,Premier League,26.0,0,0,4531741.0,0.0,1.21,1.37,38.89,0.694,3.46,0.88,0.4,1.53,2.09,2.41,1.29,1.13,4.58,2.01,,,,,,,,,,,,-0.3573753679181039,-0.7688779420188299
"DF,FW",Premier League,24.0,0,0,1208464.0,0.0,0.97,1.39,57.03,0.751,3.76,2.78,1.53,0.56,5.7,1.67,0.83,0.83,2.23,0.97,,,,,,,,,,,,-0.3573753679181039,-1.6820039896709922
DF,Premier League,34.0,2,0,3323277.0,0.12,0.74,1.05,46.12,0.773,3.1,0.68,0.25,2.17,0.56,2.05,0.93,1.74,4.15,2.48,,,,,,,,,,,,-0.3573753679181039,-0.507616399731498
"MF,DF",Premier League,29.0,0,2,1208464.0,0.0,0.26,1.52,40.01,0.736,3.57,1.06,0.46,0.59,2.91,1.45,0.53,1.19,1.98,0.4,,,,,,,,,,,,-0.3573753679181039,-0.05937912451435632
DF,Premier League,26.0,4,4,9063481.0,0.09,0.49,2.34,65.06,0.848,5.74,1.28,0.28,1.77,4.44,1.35,0.93,1.31,2.13,1.1,,,,,,,,,,,,-0.3573753679181039,2.837841956961373
DF,Bundesliga,27.0,1,1,500000.0,0.05,0.79,0.37,37.05,0.8,1.07,0.09,0.33,1.17,0.28,1.86,0.75,1.26,4.57,2.14,,,,,,,,,,,,-0.3573753679181039,0.9029347187017879
"FW,MF",La Liga,28.0,1,0,380000.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,-0.3573753679181039,-1.6387338989074447
MF,Ligue 1,33.0,4,0,1560000.0,0.1,0.79,1.73,68.43,0.826,7.04,0.85,0.33,1.05,1.15,3.31,1.15,1.21,2.03,2.62,,,,,,,,,,,,-0.3573753679181039,1.8579017829803202
"FW,MF",Ligue 1,30.0,9,6,2280000.0,0.12,1.58,4.31,57.26,0.766,6.36,1.06,0.32,2.17,5.01,1.06,0.94,1.11,1.32,0.29,,,,,,,,,,,,11.384245279843924,1.8748803466080344
DF,Bundesliga,27.0,1,5,3800000.0,0.03,1.18,3.21,60.21,0.783,4.33,1.79,1.12,2.3,5.48,2.75,1.12,1.73,1.36,0.76,,,,,,,,,,,,-0.3573753679181039,1.94090492070909
GK,Ligue 1,33.0,0,1,1820000.0,,,,,0.0,,,,,,,,,,,1.24,7.67,2.0,3.33,37.45,4.38,7.7,36.9,0.66,0.48,9.4,-0.3573753679181039,1.995712603505071
DF,Ligue 1,29.0,2,1,3750000.0,0.26,1.3,2.86,59.31,0.68,4.42,3.25,1.17,1.56,10.66,0.39,0.78,1.04,2.6,0.39,,,,,,,,,,,,-0.3573753679181039,-1.3569507470347715
DF,Serie A,28.0,0,2,6410000.0,0.0,0.68,1.45,69.53,0.888,4.5,1.16,0.08,1.36,2.25,1.77,1.49,1.32,2.81,2.01,,,,,,,,,,,,-0.3573753679181039,0.46073817283072444
MF,Ligue 1,33.0,0,1,1000000.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,-0.3573753679181039,-2.28827587742979
"FW,MF",Ligue 1,26.0,0,0,520000.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,-0.3573753679181039,-2.125931549861595
FW,Bundesliga,20.0,14,2,3500000.0,0.73,2.88,2.3,19.55,0.675,1.37,1.32,1.08,4.79,5.67,0.83,0.2,1.37,1.32,2.2,,,,,,,,,,,,-0.3573753679181039,0.5914460204405998
DF,Bundesliga,29.0,0,1,900000.0,0.0,0.63,1.88,55.75,0.705,5.64,2.02,0.42,0.77,3.62,2.09,0.56,1.32,2.09,1.18,,,,,,,,,,,,-0.3573753679181039,-0.36027581544874093
